Date,Team,Opponent,Goal Scored,Ball Possession %,Attempts,Corners,Free Kicks,Saves,Pass Accuracy %,Passes,Fouls Committed,Yellow Card,Man of the Match,Round
14-06-2018,Russia,Saudi Arabia,5,40,13,6,11,0,78,306,22,0,Yes,Group Stage
14-06-2018,Saudi Arabia,Russia,0,60,6,2,25,2,86,511,10,0,No,Group Stage
15-06-2018,Egypt,Uruguay,0,43,8,0,7,3,78,395,12,2,No,Group Stage
15-06-2018,Uruguay,Egypt,1,57,14,5,13,3,86,589,6,0,Yes,Group Stage
15-06-2018,Morocco,Iran,0,64,13,5,14,2,86,433,22,1,No,Group Stage
15-06-2018,Iran,Morocco,1,36,8,2,22,2,86,194,14,3,Yes,Group Stage
15-06-2018,Portugal,Spain,3,39,8,4,13,2,87,366,12,1,No,Group Stage
15-06-2018,Spain,Portugal,3,61,12,5,13,0,93,727,10,1,Yes,Group Stage
16-06-2018,France,Australia,2,51,12,5,19,1,87,484,16,1,Yes,Group Stage
16-06-2018,Australia,France,1,49,4,1,16,4,85,390,19,3,No,Group Stage
16-06-2018,Argentina,Iceland,1,72,26,10,15,2,92,718,10,0,No,Group Stage
16-06-2018,Iceland,Argentina,1,28,9,2,10,7,67,189,15,0,Yes,Group Stage
16-06-2018,Peru,Denmark,0,52,18,3,21,2,85,394,10,1,No,Group Stage
16-06-2018,Denmark,Peru,1,48,10,7,15,6,82,342,18,2,Yes,Group Stage
17-06-2018,Croatia,Nigeria,2,54,11,6,17,2,84,462,20,2,Yes,Group Stage
17-06-2018,Nigeria,Croatia,0,46,14,5,22,1,84,388,16,1,No,Group Stage
17-06-2018,Costa Rica,Serbia,0,50,10,5,18,2,83,428,18,2,No,Group Stage
17-06-2018,Serbia,Costa Rica,1,50,10,4,19,3,83,392,15,2,Yes,Group Stage
17-06-2018,Germany,Mexico,0,60,25,8,17,3,88,595,10,2,Yes,Group Stage
17-06-2018,Mexico,Germany,1,40,12,1,11,9,82,281,15,2,No,Group Stage
17-06-2018,Brazil,Switzerland,1,52,20,7,19,1,88,521,12,1,Yes,Group Stage
17-06-2018,Switzerland,Brazil,1,48,6,2,13,3,83,436,19,3,No,Group Stage
18-06-2018,Sweden,Korea Republic,1,52,15,6,23,0,84,417,20,1,Yes,Group Stage
18-06-2018,Korea Republic,Sweden,0,48,5,5,21,3,79,351,23,2,No,Group Stage
18-06-2018,Belgium,Panama,3,61,15,9,21,2,89,544,17,3,Yes,Group Stage
18-06-2018,Panama,Belgium,0,39,6,3,18,2,82,317,18,5,No,Group Stage
18-06-2018,Tunisia,England,1,41,6,2,11,5,82,326,14,0,No,Group Stage
18-06-2018,England,Tunisia,2,59,17,7,16,0,91,492,8,1,Yes,Group Stage
19-06-2018,Colombia,Japan,1,41,8,3,10,4,82,352,15,2,No,Group Stage
19-06-2018,Japan,Colombia,2,59,14,6,17,2,87,565,9,1,Yes,Group Stage
19-06-2018,Poland,Senegal,1,57,10,3,18,1,88,552,8,1,No,Group Stage
19-06-2018,Senegal,Poland,2,43,8,3,11,3,81,328,15,2,Yes,Group Stage
19-06-2018,Russia,Egypt,3,47,11,7,10,0,76,380,11,1,Yes,Group Stage
19-06-2018,Egypt,Russia,1,53,13,4,11,1,81,438,10,1,No,Group Stage
20-06-2018,Portugal,Morocco,1,47,10,5,24,4,76,387,19,1,Yes,Group Stage
20-06-2018,Morocco,Portugal,0,53,16,7,20,1,77,466,23,1,No,Group Stage
20-06-2018,Uruguay,Saudi Arabia,1,47,13,3,15,3,88,521,10,0,Yes,Group Stage
20-06-2018,Saudi Arabia,Uruguay,0,53,8,4,11,3,86,590,13,0,No,Group Stage
20-06-2018,Iran,Spain,0,30,5,2,15,2,69,219,14,2,No,Group Stage
20-06-2018,Spain,Iran,1,70,17,6,16,0,89,805,14,0,Yes,Group Stage
21-06-2018,Denmark,Australia,1,49,10,3,5,4,88,458,7,2,Yes,Group Stage
21-06-2018,Australia,Denmark,1,51,14,5,8,5,85,520,5,0,No,Group Stage
21-06-2018,France,Peru,1,44,12,5,16,2,77,405,11,2,Yes,Group Stage
21-06-2018,Peru,France,0,56,10,3,11,3,81,532,15,2,No,Group Stage
21-06-2018,Argentina,Croatia,0,58,10,5,26,2,81,505,15,3,No,Group Stage
21-06-2018,Croatia,Argentina,3,42,15,2,18,3,80,372,23,4,Yes,Group Stage
22-06-2018,Brazil,Costa Rica,2,66,23,10,14,0,90,732,11,2,Yes,Group Stage
22-06-2018,Costa Rica,Brazil,0,34,4,1,14,7,73,271,11,1,No,Group Stage
22-06-2018,Nigeria,Iceland,2,58,16,6,10,3,84,473,9,1,Yes,Group Stage
22-06-2018,Iceland,Nigeria,0,42,10,5,10,2,75,291,10,0,No,Group Stage
22-06-2018,Serbia,Switzerland,1,42,12,3,15,3,78,309,17,4,No,Group Stage
22-06-2018,Switzerland,Serbia,2,58,20,7,17,2,87,547,12,1,Yes,Group Stage
23-06-2018,Belgium,Tunisia,5,52,23,5,16,3,84,468,12,0,Yes,Group Stage
23-06-2018,Tunisia,Belgium,2,48,15,2,15,6,82,477,13,1,No,Group Stage
23-06-2018,Korea Republic,Mexico,1,41,17,7,7,3,82,346,24,4,No,Group Stage
23-06-2018,Mexico,Korea Republic,2,59,13,5,24,5,89,485,7,0,Yes,Group Stage
23-06-2018,Germany,Sweden,2,71,16,8,15,5,91,699,12,0,Yes,Group Stage
23-06-2018,Sweden,Germany,1,29,8,3,17,4,77,213,13,2,No,Group Stage
24-06-2018,England,Panama,6,58,12,3,13,1,94,593,14,1,Yes,Group Stage
24-06-2018,Panama,England,1,42,8,2,17,1,88,398,13,3,No,Group Stage
24-06-2018,Japan,Senegal,2,54,7,2,18,5,84,449,8,2,No,Group Stage
24-06-2018,Senegal,Japan,2,46,14,5,10,1,79,338,14,3,Yes,Group Stage
24-06-2018,Poland,Colombia,0,45,9,7,11,0,79,424,15,2,No,Group Stage
24-06-2018,Colombia,Poland,3,55,13,5,16,2,82,514,10,0,Yes,Group Stage
25-06-2018,Uruguay,Russia,3,56,17,4,20,1,88,492,17,1,Yes,Group Stage
25-06-2018,Russia,Uruguay,0,44,3,2,17,5,83,355,18,1,No,Group Stage
25-06-2018,Saudi Arabia,Egypt,2,61,22,7,19,0,90,655,7,0,No,Group Stage
25-06-2018,Egypt,Saudi Arabia,1,39,8,2,8,5,82,357,16,2,Yes,Group Stage
25-06-2018,Spain,Morocco,2,68,16,7,18,1,91,762,5,0,Yes,Group Stage
25-06-2018,Morocco,Spain,2,32,6,1,6,1,84,247,17,6,No,Group Stage
25-06-2018,Iran,Portugal,1,32,8,1,12,3,69,226,16,2,No,Group Stage
25-06-2018,Portugal,Iran,1,68,14,5,17,1,89,619,11,4,Yes,Group Stage
26-06-2018,Denmark,France,0,38,5,4,11,4,72,305,10,1,No,Group Stage
26-06-2018,France,Denmark,0,62,11,2,11,1,87,669,10,0,Yes,Group Stage
26-06-2018,Australia,Peru,0,53,14,8,13,1,86,555,13,4,No,Group Stage
26-06-2018,Peru,Australia,2,47,4,3,16,2,81,418,12,2,Yes,Group Stage
26-06-2018,Nigeria,Argentina,1,34,9,3,17,2,76,244,20,2,No,Group Stage
26-06-2018,Argentina,Nigeria,2,66,8,5,20,2,84,565,15,3,Yes,Group Stage
26-06-2018,Iceland,Croatia,1,41,17,10,12,0,73,324,10,3,Yes,Group Stage
26-06-2018,Croatia,Iceland,2,59,13,5,11,5,87,524,12,2,No,Group Stage
27-06-2018,Korea Republic,Germany,2,30,11,3,8,7,74,237,16,4,Yes,Group Stage
27-06-2018,Germany,Korea Republic,0,70,26,9,16,3,88,719,7,0,No,Group Stage
27-06-2018,Mexico,Sweden,0,65,19,7,11,3,83,487,14,3,No,Group Stage
27-06-2018,Sweden,Mexico,3,35,13,3,16,3,67,212,11,2,Yes,Group Stage
27-06-2018,Serbia,Brazil,0,44,10,5,11,4,78,467,13,3,No,Group Stage
27-06-2018,Brazil,Serbia,2,56,13,9,15,1,88,631,7,0,Yes,Group Stage
27-06-2018,Switzerland,Costa Rica,2,60,12,6,15,5,87,594,9,3,Yes,Group Stage
27-06-2018,Costa Rica,Switzerland,2,40,14,5,10,1,82,348,14,3,No,Group Stage
28-06-2018,Japan,Poland,0,54,10,5,8,2,86,557,11,1,No,Group Stage
28-06-2018,Poland,Japan,1,46,11,7,12,3,83,462,8,0,Yes,Group Stage
28-06-2018,Senegal,Colombia,0,43,8,1,18,1,78,281,15,1,No,Group Stage
28-06-2018,Colombia,Senegal,1,57,4,3,18,3,83,431,15,1,Yes,Group Stage
28-06-2018,Panama,Tunisia,1,36,9,0,20,5,77,284,18,3,No,Group Stage
28-06-2018,Tunisia,Panama,2,64,15,6,22,4,87,626,19,3,Yes,Group Stage
28-06-2018,England,Belgium,0,48,13,7,15,3,88,484,11,0,No,Group Stage
28-06-2018,Belgium,England,1,52,15,2,14,1,88,556,14,2,Yes,Group Stage
30-06-2018,France,Argentina,4,41,9,0,16,1,84,351,21,3,Yes,Round of 16
30-06-2018,Argentina,France,3,59,9,4,21,0,86,547,15,5,No,Round of 16
30-06-2018,Uruguay,Portugal,2,39,6,2,14,4,69,269,13,0,Yes,Round of 16
30-06-2018,Portugal,Uruguay,1,61,20,10,13,1,84,583,13,1,No,Round of 16
01-07-2018,Spain,Russia,1,75,25,6,20,0,91,1137,5,1,No,Round of 16
01-07-2018,Russia,Spain,1,25,6,5,6,9,72,284,19,2,Yes,Round of 16
01-07-2018,Croatia,Denmark,1,54,22,5,19,2,81,626,5,0,Yes,Round of 16
01-07-2018,Denmark,Croatia,1,46,15,4,7,7,79,539,19,1,No,Round of 16
02-07-2018,Brazil,Mexico,2,47,21,8,20,1,83,398,6,2,Yes,Round of 16
02-07-2018,Mexico,Brazil,0,53,13,7,6,8,85,424,18,4,No,Round of 16
02-07-2018,Belgium,Japan,3,56,24,10,10,3,87,621,13,0,Yes,Round of 16
02-07-2018,Japan,Belgium,2,44,11,6,14,5,83,453,9,1,No,Round of 16
03-07-2018,Sweden,Switzerland,1,37,12,3,13,4,73,271,11,1,Yes,Round of 16
03-07-2018,Switzerland,Sweden,0,63,18,11,12,2,84,599,13,2,No,Round of 16
03-07-2018,Colombia,England,1,48,14,2,15,1,78,516,23,6,No,Round of 16
03-07-2018,England,Colombia,1,51,16,7,24,3,82,571,13,2,Yes,Round of 16
06-07-2018,Uruguay,France,0,42,11,4,15,0,67,322,17,2,No,Quarter Finals
06-07-2018,France,Uruguay,2,58,11,3,17,4,81,524,15,2,Yes,Quarter Finals
06-07-2018,Brazil,Belgium,1,57,26,8,16,2,89,557,14,2,No,Quarter Finals
06-07-2018,Belgium,Brazil,2,43,8,4,15,9,83,370,16,2,Yes,Quarter Finals
07-07-2018,Sweden,England,0,43,7,1,8,0,74,379,10,2,No,Quarter Finals
07-07-2018,England,Sweden,2,57,12,6,12,3,80,525,7,1,Yes,Quarter Finals
07-07-2018,Russia,Croatia,2,38,13,6,18,1,69,399,25,1,No,Quarter Finals
07-07-2018,Croatia,Russia,2,62,17,8,26,5,82,753,18,4,Yes,Quarter Finals
10-07-2018,France,Belgium,1,40,19,4,17,3,86,342,6,2,Yes,Semi- Finals
10-07-2018,Belgium,France,0,60,9,5,7,4,90,629,16,3,No,Semi- Finals
11-07-2018,Croatia,England,2,54,22,8,17,0,79,622,23,2,Yes,Semi- Finals
11-07-2018,England,Croatia,1,46,11,4,24,5,79,479,14,1,No,Semi- Finals
14-07-2018,Belgium,England,2,43,12,4,5,5,88,510,11,1,Yes,3rd Place
14-07-2018,England,Belgium,0,57,15,5,12,2,92,698,5,2,No,3rd Place
15-07-2018,France,Croatia,4,39,8,2,14,1,75,271,14,2,Yes,Final
15-07-2018,Croatia,France,2,61,15,6,15,3,83,547,13,1,No,Final
